cell_extractor_SEM,cell_collector_SEM,cell_merger_SEM,cell_extractor_layout,cell_collector_layout,cell_merger_layout,cell_validation
114.6875,94.15625,94.15625,110.03125,94.15625,94.15625,94.65625
114.8125,94.15625,94.15625,110.03125,94.15625,94.15625,94.65625
115.1875,94.15625,94.15625,110.03125,94.15625,94.15625,94.65625
115.1875,94.15625,94.15625,110.03125,94.15625,94.15625,94.65625
110.94140625,94.15625,94.15625,110.03125,94.15625,94.15625,94.65625
110.94140625,94.15625,94.15625,110.03125,94.15625,94.15625,94.65625
108.8515625,94.15625,94.15625,108.2578125,94.15625,94.15625,94.65625
111.84765625,95.15625,94.15625,108.2578125,94.15625,94.15625,94.65625
111.84765625,95.28125,94.15625,109.95703125,95.15625,94.15625,94.65625
0,0,0,109.95703125,95.15625,94.15625,96.90625
